,ID,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,FUGA,FUGA_COD,CIUDAD_COD,log_RENTA,log_MONTO,RATIO_DEUDA,IS_SANTIAGO,IS_ARICA,IS_CONCEPCION,IS_COD_OFI_27,IS_COD_OFI_31,IS_COD_OFI_55,IS_COD_OFI_90,IS_COD_OFI_138,IS_COD_COM_1,IS_COD_COM_88,IS_COD_COM_89,IS_COD_COM_90,IS_COD_COM_119,IS_COD_COM_226,IS_MONTO_8M,SEGURO_NO,SEGURO_SI,GENERO_F,GENERO_M,NIV_EDUC_COD_COL,NIV_EDUC_COD_UNV,E_CIVIL_COD_CAS,E_CIVIL_COD_SOL
0,1,746476,39.0,MED,CAS,68,213.0,LOS ANGELES,0,38292,0,434357,1766,9110,340,2,2000000,NO FUGA,0,LOS ANGELES,13.52312008503797,14.508658238524095,0.09260004914520265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
1,2,11901,49.0,MED,VIU,16,89.0,SANTIAGO,0,0,0,0,48,0,0,1,7500000,NO FUGA,0,SANTIAGO,9.384461732204798,15.830413711839864,0.0005881858667338879,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
2,3,1651421,39.0,TEC,CAS,90,16.0,ANTOFAGASTA,0,604169,0,0,323,26489,2925,1,8000000,NO FUGA,0,ANTOFAGASTA,14.31714729290652,15.894952224644102,0.05483649708774616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
3,4,638969,36.0,UNV,CAS,85,115.0,SANTIAGO,0,5125,0,198998,94,0,105,1,2600000,NO FUGA,0,SANTIAGO,13.367612783900755,14.77102238760702,0.04568140238415322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
4,5,860113,44.0,TEC,CAS,45,80.0,SANTIAGO,0,11946,0,73959,149,0,272,1,6400000,NO FUGA,0,SANTIAGO,13.664820217584172,15.671808704579888,0.014338149256468128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
5,6,329463,40.0,TEC,CAS,53,92.0,SANTIAGO,0,187538,0,12008,641,118,154,2,7700000,FUGA,1,SANTIAGO,12.705222370506613,15.856731016694035,0.08692066440584484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
6,7,28732,45.0,UNV,CAS,55,90.0,SANTIAGO,559984,532706,0,0,1464,15600,1523,1,2900000,FUGA,1,SANTIAGO,10.265801566988308,14.88022163978423,5.525337602672978,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
7,8,11563,41.0,TEC,SOL,47,112.0,SANTIAGO,0,141317,0,525325,13,0,477,1,2100000,NO FUGA,0,SANTIAGO,9.355652103136237,14.557448378884015,8.242213464128193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
8,9,3044549,33.0,MED,CAS,22,1.0,ARICA,0,102078,0,0,44,0,0,1,1600000,NO FUGA,0,ARICA,14.928863664953882,14.285514812209815,0.004791842732700311,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
9,10,3632707,39.0,MED,VIU,27,89.0,SANTIAGO,0,162658,0,445896,865,0,907,1,2800000,NO FUGA,0,SANTIAGO,15.105488933626878,14.845130332288226,0.02400126721713902,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
